dep_lat,dep_lon,arr_lat,arr_lon,nb_flights
32.73356,-117.18966,19.73877,-156.04563000000005,115
32.73356,-117.18966,20.89865,-156.43046,381
32.73356,-117.18966,21.31869,-157.92241,639
32.73356,-117.18966,21.97598,-159.33896,199
32.73356,-117.18966,25.79325,-80.29056,389
32.73356,-117.18966,28.428890000000006,-81.31603,505
32.73356,-117.18966,29.533690000000004,-98.46978,626
32.73356,-117.18966,29.64542,-95.27889,687
32.73356,-117.18966,29.98047,-95.33972,1701
32.73356,-117.18966,29.99339,-90.25803,334
32.73356,-117.18966,30.19453,-97.66987,637
32.73356,-117.18966,32.11608,-110.94103,921
32.73356,-117.18966,32.84711,-96.85177,714
32.73356,-117.18966,32.89595,-97.0372,3299
32.73356,-117.18966,33.43417,-112.00806,5123
32.73356,-117.18966,33.640440000000005,-84.42694,2045
32.73356,-117.18966,33.94254,-118.40807,4619
32.73356,-117.18966,35.04022,-106.60918999999998,618
32.73356,-117.18966,35.21400999999999,-80.94313000000002,716
32.73356,-117.18966,36.08036,-115.15233,4095
32.73356,-117.18966,36.12448,-86.67818,388
32.73356,-117.18966,36.77619,-119.71814,196
32.73356,-117.18966,37.36186,-121.92901,3022
32.73356,-117.18966,37.619,-122.37484,6942
32.73356,-117.18966,37.72129,-122.22072,3552
32.73356,-117.18966,38.69542,-121.59077,2792
32.73356,-117.18966,38.74769000000001,-90.35999,184
32.73356,-117.18966,38.94453,-77.45581,1150
32.73356,-117.18966,39.04614,-84.66216999999997,4
32.73356,-117.18966,39.1754,-76.6682,701
32.73356,-117.18966,39.29761,-94.71391,479
32.73356,-117.18966,39.49858,-119.76806,662
32.73356,-117.18966,39.85841,-104.667,4189
32.73356,-117.18966,39.87195,-75.24114,794
32.73356,-117.18966,40.63975,-73.77893,1712
32.73356,-117.18966,40.6925,-74.16866,983
32.73356,-117.18966,40.78839,-111.97777,2266
32.73356,-117.18966,41.78598,-87.75242,1171
32.73356,-117.18966,41.9796,-87.90446,2680
32.73356,-117.18966,42.21206,-83.34884,709
32.73356,-117.18966,42.36435,-71.00518000000002,964
32.73356,-117.18966,42.94722,-87.89658,18
32.73356,-117.18966,43.56444000000001,-116.22278,334
32.73356,-117.18966,44.88055,-93.21692,1068
32.73356,-117.18966,45.58872,-122.5975,1692
32.73356,-117.18966,47.44898,-122.30931,3192
33.12723,-117.27873,33.94254,-118.40807,641
33.67566,-117.86822,29.64542,-95.27889,388
33.67566,-117.86822,29.98047,-95.33972,1463
33.67566,-117.86822,30.19453,-97.66987,156
33.67566,-117.86822,32.84711,-96.85177,529
33.67566,-117.86822,32.89595,-97.0372,2877
33.67566,-117.86822,33.43417,-112.00806,3846
33.67566,-117.86822,33.640440000000005,-84.42694,970
33.67566,-117.86822,36.08036,-115.15233,2412
33.67566,-117.86822,37.36186,-121.92901,2705
33.67566,-117.86822,37.619,-122.37484,4313
33.67566,-117.86822,37.72129,-122.22072,2485
33.67566,-117.86822,38.69542,-121.59077,2132
33.67566,-117.86822,38.74769000000001,-90.35999,40
33.67566,-117.86822,39.29761,-94.71391,40
33.67566,-117.86822,39.85841,-104.667,3331
33.67566,-117.86822,40.6925,-74.16866,784
33.67566,-117.86822,40.78839,-111.97777,1570
33.67566,-117.86822,41.78598,-87.75242,156
33.67566,-117.86822,41.9796,-87.90446,2167
33.67566,-117.86822,44.88055,-93.21692,915
33.67566,-117.86822,45.58872,-122.5975,1146
33.67566,-117.86822,47.44898,-122.30931,2762
33.81772,-118.15161,30.19453,-97.66987,475
33.81772,-118.15161,33.43417,-112.00806,1
33.81772,-118.15161,36.08036,-115.15233,1141
33.81772,-118.15161,37.619,-122.37484,998
33.81772,-118.15161,37.72129,-122.22072,1001
33.81772,-118.15161,38.69542,-121.59077,661
33.81772,-118.15161,40.63975,-73.77893,611
33.81772,-118.15161,40.78839,-111.97777,1952
33.81772,-118.15161,42.36435,-71.00518000000002,276
33.81772,-118.15161,45.58872,-122.5975,750
33.81772,-118.15161,47.44898,-122.30931,793
33.81772,-118.15161,61.17432,-149.99618999999996,118
33.82922,-116.50625,29.98047,-95.33972,287
33.82922,-116.50625,32.89595,-97.0372,724
33.82922,-116.50625,33.43417,-112.00806,1722
33.82922,-116.50625,33.94254,-118.40807,729
33.82922,-116.50625,37.619,-122.37484,2145
33.82922,-116.50625,39.85841,-104.667,985
33.82922,-116.50625,40.63975,-73.77893,32
33.82922,-116.50625,40.78839,-111.97777,747
33.82922,-116.50625,41.9796,-87.90446,344
33.82922,-116.50625,44.88055,-93.21692,155
33.82922,-116.50625,45.58872,-122.5975,278
33.82922,-116.50625,47.44898,-122.30931,839
33.94254,-118.40807,19.72026,-155.04847,261
33.94254,-118.40807,19.73877,-156.04563000000005,1385
33.94254,-118.40807,20.89865,-156.43046,2708
33.94254,-118.40807,21.31869,-157.92241,5238
33.94254,-118.40807,21.97598,-159.33896,1303
33.94254,-118.40807,25.79325,-80.29056,3023
33.94254,-118.40807,26.07258,-80.15275,1747
33.94254,-118.40807,26.68316,-80.09559,77
33.94254,-118.40807,27.97547,-82.53325,604
33.94254,-118.40807,28.428890000000006,-81.31603,2417
33.94254,-118.40807,29.533690000000004,-98.46978,1539
33.94254,-118.40807,29.64542,-95.27889,1543
33.94254,-118.40807,29.98047,-95.33972,4242
33.94254,-118.40807,29.99339,-90.25803,1859
33.94254,-118.40807,30.19453,-97.66987,2614
33.94254,-118.40807,31.80667,-106.37781,915
33.94254,-118.40807,32.11608,-110.94103,2635
33.94254,-118.40807,32.73356,-117.18966,4611
33.94254,-118.40807,32.84711,-96.85177,2468
33.94254,-118.40807,32.89595,-97.0372,6649
33.94254,-118.40807,33.12723,-117.27873,640
33.94254,-118.40807,33.43417,-112.00806,7330
33.94254,-118.40807,33.640440000000005,-84.42694,5673
33.94254,-118.40807,33.82922,-116.50625,724
33.94254,-118.40807,34.42621,-119.84037,1459
33.94254,-118.40807,34.89925,-120.45758,248
33.94254,-118.40807,35.04022,-106.60918999999998,1837
33.94254,-118.40807,35.04242,-89.97667,255
33.94254,-118.40807,35.21400999999999,-80.94313000000002,1959
33.94254,-118.40807,35.23706,-120.64239,1372
33.94254,-118.40807,35.39309,-97.60073,315
33.94254,-118.40807,35.61678,-106.08814,230
33.94254,-118.40807,35.87764,-78.78747,804
33.94254,-118.40807,36.08036,-115.15233,9594
33.94254,-118.40807,36.12448,-86.67818,1642
33.94254,-118.40807,36.58698,-121.84295,1529
33.94254,-118.40807,36.77619,-119.71814,2017
33.94254,-118.40807,37.36186,-121.92901,6341
33.94254,-118.40807,37.619,-122.37484,13457
33.94254,-118.40807,37.64996,-97.43305,58
33.94254,-118.40807,37.72129,-122.22072,6288
33.94254,-118.40807,38.50887,-107.89383,29
33.94254,-118.40807,38.69542,-121.59077,5550
33.94254,-118.40807,38.74769000000001,-90.35999,1468
33.94254,-118.40807,38.80581,-104.70025,647
33.94254,-118.40807,38.85208,-77.03772,1000
33.94254,-118.40807,38.94453,-77.45581,3525
33.94254,-118.40807,39.04614,-84.66216999999997,533
33.94254,-118.40807,39.1754,-76.6682,1118
33.94254,-118.40807,39.22316,-106.86885,775
33.94254,-118.40807,39.29761,-94.71391,1000
33.94254,-118.40807,39.49858,-119.76806,1913
33.94254,-118.40807,39.64257,-106.9177,111
33.94254,-118.40807,39.71733,-86.29438,786
33.94254,-118.40807,39.85841,-104.667,5750
33.94254,-118.40807,39.87195,-75.24114,1886
33.94254,-118.40807,39.99799,-82.89188,588
33.94254,-118.40807,40.48118,-107.21766,63
33.94254,-118.40807,40.49147,-80.23286999999998,254
33.94254,-118.40807,40.63975,-73.77893,12015
33.94254,-118.40807,40.6925,-74.16866,4618
33.94254,-118.40807,40.78839,-111.97777,5538
33.94254,-118.40807,41.30252,-95.89417,63
33.94254,-118.40807,41.41089,-81.8494,808
33.94254,-118.40807,41.78598,-87.75242,1864
33.94254,-118.40807,41.9796,-87.90446,8256
33.94254,-118.40807,42.21206,-83.34884,2003
33.94254,-118.40807,42.36435,-71.00518000000002,4056
33.94254,-118.40807,42.94722,-87.89658,380
33.94254,-118.40807,43.13986,-89.33751,1
33.94254,-118.40807,43.56444000000001,-116.22278,675
33.94254,-118.40807,43.60732,-110.73774,255
33.94254,-118.40807,44.12326,-123.21869,512
33.94254,-118.40807,44.25407,-121.14996,240
33.94254,-118.40807,44.88055,-93.21692,3091
33.94254,-118.40807,45.58872,-122.5975,3278
33.94254,-118.40807,45.7769,-111.15301,142
33.94254,-118.40807,47.44898,-122.30931,7732
33.94254,-118.40807,47.61986,-117.53383999999998,158
33.94254,-118.40807,61.17432,-149.99618999999996,382
34.056,-117.60119,29.98047,-95.33972,473
34.056,-117.60119,32.89595,-97.0372,1441
34.056,-117.60119,33.43417,-112.00806,2971
34.056,-117.60119,33.640440000000005,-84.42694,3
34.056,-117.60119,36.08036,-115.15233,1372
34.056,-117.60119,37.36186,-121.92901,1329
34.056,-117.60119,37.619,-122.37484,2174
34.056,-117.60119,37.72129,-122.22072,2127
34.056,-117.60119,38.69542,-121.59077,2024
34.056,-117.60119,39.85841,-104.667,1176
34.056,-117.60119,40.78839,-111.97777,940
34.056,-117.60119,41.78598,-87.75242,325
34.056,-117.60119,45.58872,-122.5975,723
34.056,-117.60119,47.44898,-122.30931,900
34.20062,-118.3585,33.43417,-112.00806,1893
34.20062,-118.3585,36.08036,-115.15233,3050
34.20062,-118.3585,37.36186,-121.92901,2120
34.20062,-118.3585,37.619,-122.37484,1589
34.20062,-118.3585,37.72129,-122.22072,3759
34.20062,-118.3585,38.69542,-121.59077,2102
34.20062,-118.3585,39.85841,-104.667,1245
34.20062,-118.3585,40.63975,-73.77893,334
34.20062,-118.3585,40.78839,-111.97777,828
34.20062,-118.3585,45.58872,-122.5975,958
34.20062,-118.3585,47.44898,-122.30931,1011
34.42621,-119.84037,33.43417,-112.00806,1027
34.42621,-119.84037,33.94254,-118.40807,1460
34.42621,-119.84037,37.619,-122.37484,2097
34.42621,-119.84037,39.85841,-104.667,650
34.42621,-119.84037,45.58872,-122.5975,334
34.42621,-119.84037,47.44898,-122.30931,449
34.89925,-120.45758,33.94254,-118.40807,249
34.89925,-120.45758,37.619,-122.37484,415
35.23706,-120.64239,33.43417,-112.00806,717
35.23706,-120.64239,33.94254,-118.40807,1373
35.23706,-120.64239,37.619,-122.37484,1043
35.4336,-119.05677,29.98047,-95.33972,492
35.4336,-119.05677,33.43417,-112.00806,875
35.4336,-119.05677,37.619,-122.37484,660
35.4336,-119.05677,39.85841,-104.667,610
36.58698,-121.84295,33.43417,-112.00806,628
36.58698,-121.84295,33.94254,-118.40807,1529
36.58698,-121.84295,37.619,-122.37484,817
36.77619,-119.71814,32.73356,-117.18966,196
36.77619,-119.71814,32.89595,-97.0372,617
36.77619,-119.71814,33.43417,-112.00806,471
36.77619,-119.71814,33.94254,-118.40807,1693
36.77619,-119.71814,37.619,-122.37484,1191
36.77619,-119.71814,39.85841,-104.667,1012
36.77619,-119.71814,40.78839,-111.97777,856
36.77619,-119.71814,45.58872,-122.5975,99
36.77619,-119.71814,47.44898,-122.30931,883
37.36186,-121.92901,19.73877,-156.04563000000005,193
37.36186,-121.92901,20.89865,-156.43046,668
37.36186,-121.92901,21.31869,-157.92241,556
37.36186,-121.92901,21.97598,-159.33896,190
37.36186,-121.92901,29.98047,-95.33972,462
37.36186,-121.92901,30.19453,-97.66987,613
37.36186,-121.92901,32.73356,-117.18966,3021
37.36186,-121.92901,32.84711,-96.85177,298
37.36186,-121.92901,32.89595,-97.0372,1511
37.36186,-121.92901,33.43417,-112.00806,3111
37.36186,-121.92901,33.640440000000005,-84.42694,276
37.36186,-121.92901,33.67566,-117.86822,2710
37.36186,-121.92901,33.94254,-118.40807,6339
37.36186,-121.92901,34.056,-117.60119,1303
37.36186,-121.92901,34.20062,-118.3585,2133
37.36186,-121.92901,36.08036,-115.15233,2802
37.36186,-121.92901,39.85841,-104.667,2102
37.36186,-121.92901,40.63975,-73.77893,296
37.36186,-121.92901,40.78839,-111.97777,1678
37.36186,-121.92901,41.78598,-87.75242,334
37.36186,-121.92901,41.9796,-87.90446,665
37.36186,-121.92901,42.36435,-71.00518000000002,207
37.36186,-121.92901,44.88055,-93.21692,458
37.36186,-121.92901,45.58872,-122.5975,2249
37.36186,-121.92901,47.44898,-122.30931,4025
37.619,-122.37484,19.73877,-156.04563000000005,694
37.619,-122.37484,20.89865,-156.43046,1428
37.619,-122.37484,21.31869,-157.92241,2067
37.619,-122.37484,21.97598,-159.33896,438
37.619,-122.37484,25.79325,-80.29056,1022
37.619,-122.37484,26.07258,-80.15275,1245
37.619,-122.37484,28.428890000000006,-81.31603,797
37.619,-122.37484,29.533690000000004,-98.46978,359
37.619,-122.37484,29.98047,-95.33972,3426
37.619,-122.37484,29.99339,-90.25803,213
37.619,-122.37484,30.19453,-97.66987,2034
37.619,-122.37484,32.11608,-110.94103,654
37.619,-122.37484,32.73356,-117.18966,6917
37.619,-122.37484,32.84711,-96.85177,1318
37.619,-122.37484,32.89595,-97.0372,4555
37.619,-122.37484,33.43417,-112.00806,4856
37.619,-122.37484,33.640440000000005,-84.42694,3127
37.619,-122.37484,33.67566,-117.86822,4314
37.619,-122.37484,33.81772,-118.15161,999
37.619,-122.37484,33.82922,-116.50625,2140
37.619,-122.37484,33.94254,-118.40807,13744
37.619,-122.37484,34.056,-117.60119,2174
37.619,-122.37484,34.20062,-118.3585,1581
37.619,-122.37484,34.42621,-119.84037,2098
37.619,-122.37484,34.89925,-120.45758,415
37.619,-122.37484,35.04022,-106.60918999999998,334
37.619,-122.37484,35.21400999999999,-80.94313000000002,1818
37.619,-122.37484,35.23706,-120.64239,1043
37.619,-122.37484,35.39309,-97.60073,333
37.619,-122.37484,35.4336,-119.05677,661
37.619,-122.37484,35.87764,-78.78747,521
